unique_num,campain_code,customer_code,customer_name,brand_code,brand_name,pro_code,pro_name,encrypt_procode,decrypt_procode,url
44,16_1_2,16,제이엠비즈콘,1,테팔,2,6. 테팔 브루트 인덕션 후라이팬 멀티팬 28cm + 멀티뚜껑,MTQ3MDUwNA,1470504,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUwNA&aid=16_1_2_[DATE]&mid=TMS&rid=[SEQ]
44,16_1_2,16,제이엠비즈콘,1,테팔,2,7. 테팔 브루트 인덕션 후라이팬 24cm + 28cm,MTQ3MDUwNA,1470504,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUwNA&aid=16_1_2_[DATE]&mid=TMS&rid=[SEQ]
44,16_1_2,16,제이엠비즈콘,1,테팔,2,8. 테팔 브루트 인덕션 후라이팬 24cm + 멀티팬 28cm,MTQ3MDUwNA,1470504,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUwNA&aid=16_1_2_[DATE]&mid=TMS&rid=[SEQ]
44,16_1_2,16,제이엠비즈콘,1,테팔,2,9. 테팔 브루트 인덕션 후라이팬 24cm + 28cm + 멀티뚜껑,MTQ3MDUwNA,1470504,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUwNA&aid=16_1_2_[DATE]&mid=TMS&rid=[SEQ]
44,16_1_2,16,제이엠비즈콘,1,테팔,2,10. 테팔 브루트 인덕션 후라이팬 28cm + 멀티팬 28cm + 멀티뚜껑,MTQ3MDUwNA,1470504,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUwNA&aid=16_1_2_[DATE]&mid=TMS&rid=[SEQ]
44,16_1_3,16,제이엠비즈콘,1,테팔,3,11. 테팔 부스트 디스팅션 후라이팬 24cm,MTQ3MDUwNQ,1470505,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUwNQ&aid=16_1_3_[DATE]&mid=TMS&rid=[SEQ]
44,16_1_3,16,제이엠비즈콘,1,테팔,3,12. 테팔 부스트 디스팅션 후라이팬 26cm,MTQ3MDUwNQ,1470505,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUwNQ&aid=16_1_3_[DATE]&mid=TMS&rid=[SEQ]
44,16_1_3,16,제이엠비즈콘,1,테팔,3,13. 테팔 부스트 디스팅션 전골팬 24cm+유리뚜껑,MTQ3MDUwNQ,1470505,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUwNQ&aid=16_1_3_[DATE]&mid=TMS&rid=[SEQ]
44,16_1_3,16,제이엠비즈콘,1,테팔,3,14. 테팔 부스트 디스팅션 멀티팬 28cm+멀티뚜껑,MTQ3MDUwNQ,1470505,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUwNQ&aid=16_1_3_[DATE]&mid=TMS&rid=[SEQ]
44,16_1_3,16,제이엠비즈콘,1,테팔,3,15. 테팔 부스트 디스팅션 후라이팬 26cm+멀티팬 28cm,MTQ3MDUwNQ,1470505,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUwNQ&aid=16_1_3_[DATE]&mid=TMS&rid=[SEQ]
44,16_1_3,16,제이엠비즈콘,1,테팔,3,16. 테팔 부스트 디스팅션 후라이팬 26cm + 전골팬 24cm + 유리뚜껑,MTQ3MDUwNQ,1470505,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUwNQ&aid=16_1_3_[DATE]&mid=TMS&rid=[SEQ]
44,16_1_3,16,제이엠비즈콘,1,테팔,3,17. 테팔 부스트 디스팅션 후라이팬 24cm + 멀티팬 28cm + 멀티뚜껑,MTQ3MDUwNQ,1470505,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUwNQ&aid=16_1_3_[DATE]&mid=TMS&rid=[SEQ]
